accuracy,loss,Epoch
0.5574290752410889,0.6847795248031616,1
0.6200864911079407,0.6641338467597961,2
0.6676612496376038,0.6439489722251892,3
0.7081189155578613,0.6191867589950562,4
0.740583598613739,0.5930312871932983,5
0.7585952281951904,0.5653039813041687,6
0.7758403420448303,0.5336794853210449,7
0.7879119515419006,0.5025452375411987,8
0.8007226586341858,0.4741140305995941,9
0.8162980675697327,0.44362860918045044,10
0.8265082836151123,0.4165884554386139,11
0.8361983895301819,0.39003196358680725,12
0.8477225303649902,0.36486414074897766,13
0.8590551018714905,0.33902308344841003,14
0.8745483160018921,0.311714768409729,15
0.8859082460403442,0.2867691218852997,16
0.8970491886138916,0.2625407874584198,17
0.9061371088027954,0.24268221855163574,18
0.9137194752693176,0.22297163307666779,19
0.9199605584144592,0.20851388573646545,20
0.9280356764793396,0.19245153665542603,21
0.9332913756370544,0.18025562167167664,22
0.9383280277252197,0.16477085649967194,23
0.9423519372940063,0.15628597140312195,24
0.9467589855194092,0.14646975696086884,25
0.9508923888206482,0.13743391633033752,26
0.9554363489151001,0.12665873765945435,27
0.9572429656982422,0.12117645889520645,28
0.961431086063385,0.10875000059604645,29
0.9635388255119324,0.10363435000181198,30
0.9680006504058838,0.09519465267658234,31
0.9705463647842407,0.08640427887439728,32
0.9722161293029785,0.08040335774421692,33
0.9743238687515259,0.07568705826997757,34
0.9760757684707642,0.07167632132768631,35
0.978813111782074,0.06341828405857086,36
0.9812493324279785,0.059176139533519745,37
0.9817693829536438,0.05711600184440613,38
0.983329713344574,0.053420525044202805,39
0.9844793677330017,0.05047187954187393,40
0.9859848618507385,0.04552103951573372,41
0.9867513179779053,0.04234451428055763,42
0.9865871071815491,0.04111076146364212,43
0.988612711429596,0.039147015661001205,44
0.988968551158905,0.03738490119576454,45
0.9903919696807861,0.03448065370321274,46
0.9898992776870728,0.0343346893787384,47
0.9900087714195251,0.03208428621292114,48
0.9908573031425476,0.030299276113510132,49
0.9920891523361206,0.028819821774959564,50
